Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S203891751,European Herring Gull,Larus argentatus,6478,3,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2004-02-07,,eBird - Casual Observation,,0,,,,,,,
S203891834,European Herring Gull,Larus argentatus,6478,1,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2004-02-13,,eBird - Casual Observation,,0,,,,,,,
S203791946,Mallard,Anas platyrhynchos,525,6,US-NY,Albany,L910351,Corning Riverfront Park,42.6513938,-73.7457898,2004-07-10,,eBird - Casual Observation,,0,,,,,,,
S203889330,Canada Goose,Branta canadensis,330,20,GB-ENG,Merseyside,L5119498,Southport Marine Lake,53.6548715,-3.006196,2004-10-31,,eBird - Casual Observation,,0,,,,,,,
S203889330,Mute Swan,Cygnus olor,365,5,GB-ENG,Merseyside,L5119498,Southport Marine Lake,53.6548715,-3.006196,2004-10-31,,eBird - Casual Observation,,0,,,,,,,
S203889330,Eurasian Coot,Fulica atra,5430,4,GB-ENG,Merseyside,L5119498,Southport Marine Lake,53.6548715,-3.006196,2004-10-31,,eBird - Casual Observation,,0,,,,,,,
S203890926,European Herring Gull,Larus argentatus,6478,10,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2004-11-25,,eBird - Casual Observation,,0,,,,,,,
S203889984,Eurasian Magpie,Pica pica,21243,1,GB-ENG,Merseyside,L38310594,"Central Park, Birkenhead, UK",53.4160091,-3.0387273,2004-11-25,,eBird - Casual Observation,,0,,,,,,,
S203891305,Eurasian Oystercatcher,Haematopus ostralegus,5729,2,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-01-16,,eBird - Casual Observation,,0,,,,,,,
S203891305,European Herring Gull,Larus argentatus,6478,10,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-01-16,,eBird - Casual Observation,,0,,,,,,,
S203891456,European Herring Gull,Larus argentatus,6478,10,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-01-30,,eBird - Casual Observation,,0,,,,,,,
S204867290,European Herring Gull,Larus argentatus,6478,20,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-01-30,,eBird - Casual Observation,,0,,,,,,,
S203891632,European Herring Gull,Larus argentatus,6478,10,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-02-05,,eBird - Casual Observation,,0,,,,,,,
S203892874,European Herring Gull,Larus argentatus,6478,3,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-03-11,,eBird - Casual Observation,,0,,,,,,,
S203895216,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,2,GB-ENG,Merseyside,L7110648,New Brighton Marine Lake,53.4411132,-3.0426013,2005-04-11,,eBird - Casual Observation,,0,,,,,,,
S203895324,European Herring Gull,Larus argentatus,6478,1,GB-ENG,Merseyside,L7981465,Harrison Drive Coastguard,53.4348286,-3.0720044,2005-04-11,,eBird - Casual Observation,,0,,,,,,,
S202181894,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,2,GB-ENG,Merseyside,L37976055,"Parker St, Liverpool, UK",53.40554,-2.9816921,2005-04-16,,eBird - Casual Observation,,0,,,,,,,
S203895542,European Herring Gull,Larus argentatus,6478,2,GB-ENG,Merseyside,L15098367,River Mersey at Seacombe,53.409983,-3.016136,2005-04-16,,eBird - Casual Observation,,0,,,,,,,
S202182267,European Herring Gull,Larus argentatus,6478,2,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-04-17,,eBird - Casual Observation,,0,,,,,,,
S203893339,European Herring Gull,Larus argentatus,6478,1,GB-ENG,Merseyside,L37976143,"Wallasey, UK",53.4163243,-3.0222042,2005-04-22,,eBird - Casual Observation,,0,,,,,,,
S204667009,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,50,GB-ENG,Merseyside,L8903738,River Mersey Docks and Estuary,53.4062583,-3.0051572,2005-04-23,,eBird - Casual Observation,,0,,,,,,,
S204667009,European Herring Gull,Larus argentatus,6478,1,GB-ENG,Merseyside,L8903738,River Mersey Docks and Estuary,53.4062583,-3.0051572,2005-04-23,,eBird - Casual Observation,,0,,,,,,,
S204667413,European Herring Gull,Larus argentatus,6478,20,GB-ENG,Merseyside,L6750721,West Kirby Marine Lake,53.3673015,-3.1869364,2005-04-30,,eBird - Casual Observation,,0,,,,,,,
S150530165,Black-legged Kittiwake,Rissa tridactyla,6384,X,IE-L,Dublin,L1034524,Howth Head,53.3844389,-6.0461937,2005-05-30,,eBird - Casual Observation,,0,,,,,,,
S150530109,European Herring Gull,Larus argentatus,6478,3,IE-L,Dublin,L1078559,Howth Harbour,53.3903414,-6.0672426,2005-05-30,,eBird - Casual Observation,,0,,,,,,,
S203903153,Black-capped Chickadee,Poecile atricapillus,21841,10,US-CO,Arapahoe,L38313813,"Aberdeen Ave, Centennial, CO",39.6090441,-104.8161998,2005-05-31,,eBird - Casual Observation,,0,,,,,,,
S204667544,Eurasian Coot,Fulica atra,5430,10,GB-ENG,London,L3278538,Victoria Park (South Hackney),51.5357653,-0.0402546,2005-08-05,,eBird - Casual Observation,,0,,,,,,,
S204668510,Eurasian Moorhen,Gallinula chloropus,5405,5,GB-ENG,London,L12584491,Limehouse Basin,51.5111757,-0.0362843,2005-08-06,,eBird - Casual Observation,,0,,,,,,,
S204668510,European Herring Gull,Larus argentatus,6478,3,GB-ENG,London,L12584491,Limehouse Basin,51.5111757,-0.0362843,2005-08-06,,eBird - Casual Observation,,0,,,,,,,
S204668455,Eurasian Coot,Fulica atra,5430,1,GB-ENG,London,L12106537,Regent's Canal in Tower Hamlets,51.520684,-0.036443,2005-08-08,,eBird - Casual Observation,,0,,,,,,,
S204723969,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,2,GB-ENG,London,L38481618,"Cutty Sark, London, UK",51.4828662,-0.009613,2005-08-13,,eBird - Casual Observation,,0,,,,,,,
S204726159,Mallard,Anas platyrhynchos,525,5,GB-ENG,London,L12105279,City Road Basin,51.5311931,-0.0972722,2005-08-28,,eBird - Casual Observation,,0,,,,,,,
S204725755,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,6,GB-ENG,London,L10979736,Regent's Canal at Camden Road,51.5410444,-0.1393846,2005-08-28,,eBird - Casual Observation,,0,,,,,,,
S204726527,Canada Goose,Branta canadensis,330,10,GB-ENG,London,L10466555,Hyde Park--The Serpentine,51.5051628,-0.1645374,2005-09-10,,eBird - Casual Observation,,0,,,,,,,
S204727035,Eurasian Coot,Fulica atra,5430,3,GB-ENG,London,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",51.5031329,-0.1338959,2005-09-13,,eBird - Casual Observation,,0,,,,,,,
S204727444,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,3,GB-ENG,London,L17661130,St James's Square,51.50714,-0.135398,2005-10-23,,eBird - Casual Observation,,0,,,,,,,
S204728203,Canada Goose,Branta canadensis,330,5,GB-ENG,London,L5415086,Island Gardens,51.487102,-0.0081968,2005-10-30,,eBird - Casual Observation,,0,,,,,,,
S204775013,Black-headed Gull,Chroicocephalus ridibundus,6409,1,ES-CT,Barcelona,L1903842,Barceloneta,41.3802144,2.189462,2005-11-08,,eBird - Casual Observation,,0,,,,,,,
S204775137,Graylag Goose,Anser anser,264,2,ES-CT,Barcelona,L22091437,Barcelona--Platja de la Barceloneta,41.3783865,2.1924591,2005-11-09,,eBird - Casual Observation,,0,,,,,,,
S204775137,Mute Swan,Cygnus olor,365,5,ES-CT,Barcelona,L22091437,Barcelona--Platja de la Barceloneta,41.3783865,2.1924591,2005-11-09,,eBird - Casual Observation,,0,,,,,,,
S204775813,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,2,ES-CT,Barcelona,L38497865,"Arxiu Històric de la Ciutat de Barcelona, Barcelona, ES",41.3840981,2.1757489,2005-11-09,,eBird - Casual Observation,,0,,,,,,,
S204775677,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,20,ES-CT,Barcelona,L38497826,"Placa Catalunya, Barcelona, ES",41.3789552,2.1750749,2005-11-09,,eBird - Casual Observation,,0,,,,,,,
S204775137,Yellow-legged Gull,Larus michahellis,6485,50,ES-CT,Barcelona,L22091437,Barcelona--Platja de la Barceloneta,41.3783865,2.1924591,2005-11-09,,eBird - Casual Observation,,0,,,,,,,
S204728556,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,10,GB-ENG,London,L38482613,"Selwyn Green, London, UK",51.5304194,-0.0330877,2005-11-19,,eBird - Casual Observation,,0,,,,,,,
S204729510,Canada Goose,Branta canadensis,330,2,GB-ENG,London,L6823030,Mile End Park,51.526333,-0.0378487,2005-12-13,,eBird - Casual Observation,,0,,,,,,,
S204894392,Canada Goose,Branta canadensis,330,2,GB-ENG,London,L12106137,Haggerston (LBC District),51.5359802,-0.0701742,2005-12-26,,eBird - Casual Observation,,0,,,,,,,
S204893205,Mute Swan,Cygnus olor,365,2,GB-ENG,London,L6823030,Mile End Park,51.526333,-0.0378487,2005-12-26,,eBird - Casual Observation,,0,,,,,,,
S204894392,Mallard,Anas platyrhynchos,525,2,GB-ENG,London,L12106137,Haggerston (LBC District),51.5359802,-0.0701742,2005-12-26,,eBird - Casual Observation,,0,,,,,,,
S204894392,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,50,GB-ENG,London,L12106137,Haggerston (LBC District),51.5359802,-0.0701742,2005-12-26,,eBird - Casual Observation,,0,,,,,,,
S204730294,Eurasian Jackdaw,Coloeus monedula,21290,2,GB-ENG,London,L3278538,Victoria Park (South Hackney),51.5357653,-0.0402546,2006-01-10,,eBird - Casual Observation,,0,,,,,,,
S204734094,Graylag Goose,Anser anser,264,3,GB-ENG,London,L26421088,"Victoria Park, London, UK",51.533727,-0.043818,2006-01-31,,eBird - Casual Observation,,0,,,,,,,
S204734094,Carrion Crow,Corvus corone,21351,2,GB-ENG,London,L26421088,"Victoria Park, London, UK",51.533727,-0.043818,2006-01-31,,eBird - Casual Observation,,0,,,,,,,
S204734612,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,40,GB-ENG,London,L38483946,"Red Lion Square Gardens, London, UK",51.5192117,-0.1188862,2006-02-21,,eBird - Casual Observation,,0,,,,,,,
S204734882,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,1,GB-ENG,London,L38484005,"Lambs Conduit, London, UK",51.5208826,-0.1179018,2006-02-23,,eBird - Casual Observation,,0,,,,,,,
S204736118,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,10,GB-ENG,London,L38487615,"Piccadilly, London, UK",51.5100309,-0.1344006,2006-03-24,,eBird - Casual Observation,,0,,,,,,,
S204875426,Mallard,Anas platyrhynchos,525,1,GB-ENG,London,L12584491,Limehouse Basin,51.5111757,-0.0362843,2006-03-26,,eBird - Casual Observation,,0,,,,,,,
S204875533,Eurasian Coot,Fulica atra,5430,1,GB-ENG,London,L12106388,Hertford Union Canal,51.5369286,-0.0321997,2006-03-28,,eBird - Casual Observation,,0,,,,,,,
S204877087,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1832,1,GB-ENG,London,L12106871,Bethnal Green Gardens,51.5258546,-0.0539803,2006-04-01,,eBird - Casual Observation,,0,,,,,,,
S204875894,Eurasian Moorhen,Gallinula chloropus,5405,1,GB-ENG,London,L5824756,Regent's Canal at Vyner Street,51.535067,-0.055347,2006-04-01,,eBird - Casual Observation,,0,,,,,,,
S204877264,Mallard,Anas platyrhynchos,525,2,US-NY,Kings,L297912,Brooklyn Botanic Garden,40.6680222,-73.96367,2006-04-15,,eBird - Casual Observation,,0,,,,,,,
S146556867,Eurasian Coot,Fulica atra,5430,2,GB-ENG,London,L26421088,"Victoria Park, London, UK",51.533727,-0.043818,2006-05-28,,eBird - Casual Observation,,0,,,,,,,
S146557125,Magnificent Frigatebird,Fregata magnificens,7233,1,US-FL,Collier,L26421146,"Naples, FL",26.098567,-81.795566,2006-06-06,,eBird - Casual Observation,,0,,,,,,,
S146557125,Osprey,Pandion haliaetus,7737,1,US-FL,Collier,L26421146,"Naples, FL",26.098567,-81.795566,2006-06-06,,eBird - Casual Observation,,0,,,,,,,
S146558213,White Ibis,Eudocimus albus,7377,4,US-FL,Collier,L26421343,"Corkscrew Swamp, FL",26.374375,-81.609072,2006-06-08,,eBird - Casual Observation,,0,,,,,,,
S146558213,Green Heron,Butorides virescens,7611,1,US-FL,Collier,L26421343,"Corkscrew Swamp, FL",26.374375,-81.609072,2006-06-08,,eBird - Casual Observation,,0,,,,,,,
S146558213,Red-shouldered Hawk,Buteo lineatus,8391,1,US-FL,Collier,L26421343,"Corkscrew Swamp, FL",26.374375,-81.609072,2006-06-08,,eBird - Casual Observation,,0,,,,,,,
S146558863,Mute Swan,Cygnus olor,365,4,GB-ENG,London,L26421596,"Hampstead Heath, London",51.565808,-0.15894,2006-06-17,,eBird - Casual Observation,,0,,,,,,,
S146558975,Eurasian Coot,Fulica atra,5430,1,GB-ENG,London,L26421624,"Limehouse Basin, London",51.511472,-0.036545,2006-07-01,,eBird - Casual Observation,,0,,,,,,,
S146559036,Canada Goose,Branta canadensis,330,9,GB-ENG,London,L26421088,"Victoria Park, London, UK",51.533727,-0.043818,2006-07-05,,eBird - Casual Observation,,0,,,,,,,
S146560105,Plumed Whistling-Duck,Dendrocygna eytoni,230,2,GB-ENG,London,L26421673,"Barnes Wetland, London",51.476685,-0.233517,2006-09-23,,eBird - Casual Observation,,0,,,,,"Barnes Wetlands, London",,600756961
S146560105,Maned Duck,Chenonetta jubata,445,2,GB-ENG,London,L26421673,"Barnes Wetland, London",51.476685,-0.233517,2006-09-23,,eBird - Casual Observation,,0,,,,,"Barnes Wetlands, London",,600757091
S146560105,Gray Heron,Ardea cinerea,7651,1,GB-ENG,London,L26421673,"Barnes Wetland, London",51.476685,-0.233517,2006-09-23,,eBird - Casual Observation,,0,,,,,,,
S146560258,Galah,Eolophus roseicapilla,12059,2,AU-WA,Albany,L26395751,"Gledhow, WA",-35.007688,117.841724,2006-11-13,,eBird - Casual Observation,,0,,,,,,,
S146560313,Galah,Eolophus roseicapilla,12059,11,AU-WA,Albany,L26395751,"Gledhow, WA",-35.007688,117.841724,2006-11-13,,eBird - Casual Observation,,0,,,,,,,
S146560258,Western Rosella,Platycercus icterotis,12386,1,AU-WA,Albany,L26395751,"Gledhow, WA",-35.007688,117.841724,2006-11-13,,eBird - Casual Observation,,0,,,,,,,
S150368065,European Herring Gull,Larus argentatus,6478,5,DE-NW,Köln (Kreisfreie Stadt),L25050414,Rheingarten,50.939271,6.9628493,2006-12-24,,eBird - Casual Observation,,0,,,,,,,
S146560738,Mallard,Anas platyrhynchos,525,9,GB-ENG,Wiltshire,L26422040,"Salisbury, UK",51.065699,-1.80645,2007-04-08,,eBird - Casual Observation,,0,,,,,,,
S146560835,Ring-necked Pheasant,Phasianus colchicus,1444,1,GB-ENG,Wiltshire,L26422063,"Salisbury (Old Sarum), UK",51.090141,-1.812346,2007-04-09,,eBird - Casual Observation,,0,,,,,,,
S146561107,Common Eider,Somateria mollissima,690,1,GB-ENG,Northumberland,L26422131,"Lindisfarne, UK",55.669127,-1.787548,2007-06-14,,eBird - Casual Observation,,0,,,,,,,
S146561107,Black-headed Gull,Chroicocephalus ridibundus,6409,20,GB-ENG,Northumberland,L26422131,"Lindisfarne, UK",55.669127,-1.787548,2007-06-14,,eBird - Casual Observation,,0,,,,,,,
S146561490,Black-legged Kittiwake,Rissa tridactyla,6384,30,GB-ENG,Northumberland,L26422236,"Dunstanburg Castle, UK",55.488533,-1.592262,2007-06-15,,eBird - Casual Observation,,0,,,,,,,
S146561385,House Sparrow,Passer domesticus,31261,3,GB-ENG,Northumberland,L26422205,"Low Newton-by-the-Sea, Alnwick, UK",55.513928,-1.619867,2007-06-15,,eBird - Casual Observation,,0,,,,,,,
S146562034,Carrion Crow,Corvus corone,21351,3,GB-ENG,London,L26421088,"Victoria Park, London, UK",51.533727,-0.043818,2007-09-09,,eBird - Casual Observation,,0,,,,,,,611207746
S146562388,House Sparrow,Passer domesticus,31261,1,US-NY,New York,L26422450,"Bryant Park, New York City",40.75384,-73.983672,2007-09-22,,eBird - Casual Observation,,0,,,,,,,
S146562607,European Herring Gull,Larus argentatus,6478,10,GB-ENG,London,L26422495,"Kew Gardens, London",51.478944,-0.291088,2007-11-11,,eBird - Casual Observation,,0,,,,,,,
S146562900,European Herring Gull,Larus argentatus,6478,30,GB-ENG,Dorset,L26422572,"Swanage Pier, UK",50.608227,-1.950865,2007-12-16,,eBird - Casual Observation,,0,,,,,,,
S146563043,Gray Heron,Ardea cinerea,7651,1,GB-SCT,Fife,L26422597,"St Andrews, UK",56.336042,-2.796791,2007-12-29,,eBird - Casual Observation,,0,,,,,,,
S149985126,Carnaby's Black-Cockatoo,Zanda latirostris,12038,8,AU-WA,Albany,L26395751,"Gledhow, WA",-35.007688,117.841724,2008-02-28,,eBird - Casual Observation,,0,,,,,,,
S147440242,Gray Heron,Ardea cinerea,7651,1,GB-ENG,London,L1800098,Battersea Park,51.4802877,-0.1552555,2008-03-03,,eBird - Casual Observation,,0,,,,,,,
S146636283,Ruddy Turnstone,Arenaria interpres,6099,1,GB-ENG,Suffolk,L26439610,"Felixstone, UK",51.93991,1.32005,2008-04-05,,eBird - Casual Observation,,0,,,,,,,
